repo,skill_name,agents
affaan-m/everything-claude-code,cpp-coding-standards,opencode claude-code codex
affaan-m/everything-claude-code,cpp-testing,opencode claude-code codex
jeffallan/claude-skills,cpp-pro,opencode claude-code codex
