repo,skill_name,agents
affaan-m/everything-claude-code,golang-patterns,opencode claude-code codex
affaan-m/everything-claude-code,golang-testing,opencode claude-code codex
jeffallan/claude-skills,golang-pro,opencode claude-code codex
